crsp_portno,security_rank,eff_dt,percent_tna,security_name,ticker
1022138,1,20191206,7.26,FACEBOOK INC,FB
1022138,2,20191206,6.76,AMAZON COM INC,AMZN
1022138,3,20191206,5.43,BERKSHIRE HATHAWAY INC DEL,BRK
1022138,4,20191206,5.29,MICROSOFT CORP,MSFT
1022138,5,20191206,3.91,VISA INC,V
1022138,6,20191206,3.79,SALESFORCE COM INC,CRM
1022138,7,20191206,2.77,UNITEDHEALTH GROUP INC,UNH
1022138,8,20191206,2.76,ALPHABET INC,GOOGL
1022138,9,20191206,2.57,ADOBE INC,ADBE
1022138,10,20191206,2.51,MASTERCARD INC,MA
1022138,11,20191206,2.51,ALPHABET INC,GOOG
1022138,12,20191206,2.02,NETFLIX INC,NFLX
1022138,13,20191206,1.99,APPLE INC,AAPL
1022138,14,20191206,1.76,PAYPAL HOLDINGS INC,PYPL
1022138,15,20191206,1.72,AMPHENOL CORP NEW,APH
1022138,16,20191206,1.61,BANK OF AMERICA CORP,BAC
1022138,17,20191206,1.60,JPMORGAN CHASE & CO,JPM
1022138,18,20191206,1.25,LAUDER ESTEE COS INC,EL
1022138,19,20191206,1.12,CITIGROUP INC,C
1022138,20,20191206,1.09,AMERICAN EXPRESS CO,AXP
1022138,21,20191206,1.09,VERTEX PHARMACEUTICALS INC,VRTX
1022138,22,20191206,0.91,DISNEY WALT CO,DIS
1022138,22,20191206,0.91,WORKDAY INC,WDAY
1022138,24,20191206,0.91,MCDONALDS CORP,MCD
1022138,25,20191206,0.80,COSTCO WHOLESALE CORP NEW,COST
1022138,26,20191206,0.76,HOME DEPOT INC,HD
1022138,27,20191206,0.74,T J X COMPANIES INC NEW,TJX
1022138,28,20191206,0.73,METTLER TOLEDO INTERNATIONAL INC,MTD
1022138,29,20191206,0.73,Fidelity Cash Central Fund,
1022138,30,20191206,0.71,EDWARDS LIFESCIENCES CORP,EW
1022138,31,20191206,0.69,ASTRAZENECA PLC,AZN
1022138,32,20191206,0.67,BAXTER INTERNATIONAL INC,BAX
1022138,33,20191206,0.64,NVIDIA CORP,NVDA
1022138,34,20191206,0.64,ACTIVISION BLIZZARD INC,ATVI
1022138,35,20191206,0.63,DANAHER CORP,DHR
1022138,36,20191206,0.59,COCA COLA CO,KO
1022138,37,20191206,0.58,THERMO FISHER SCIENTIFIC INC,TMO
1022138,38,20191206,0.57,INTUIT INC,INTU
1022138,39,20191206,0.56,AMERICAN TOWER CORP NEW,AMT
1022138,40,20191206,0.55,Adidas AG ORD,ADSGn
1022138,41,20191206,0.54,NIKE INC,NKE
1022138,42,20191206,0.50,ABBOTT LABORATORIES,ABT
1022138,43,20191206,0.46,Reliance Industries Ltd ORD,RELI
1022138,44,20191206,0.44,FORTIVE CORP,FTV
1022138,45,20191206,0.44,HESS CORP,HES
1022138,45,20191206,0.44,T MOBILE U S INC,TMUS
1022138,47,20191206,0.42,QUALCOMM INC,QCOM
1022138,48,20191206,0.42,BOSTON SCIENTIFIC CORP,BSX
1022138,49,20191206,0.40,CHIPOTLE MEXICAN GRILL INC,CMG
1022138,50,20191206,0.40,SHERWIN WILLIAMS CO,SHW
1022138,51,20191206,0.39,BARRICK GOLD CORP,GOLD
1022138,52,20191206,0.39,GLOBAL PAYMENTS INC,GPN
1022138,53,20191206,0.38,Pinterest Inc ORD,PINSb
1022138,54,20191206,0.38,FRANCO NEVADA CORP,FNV
1022138,55,20191206,0.37,INTUITIVE SURGICAL INC,ISRG
1022138,56,20191206,0.37,PEPSICO INC,PEP
1022138,57,20191206,0.37,MERCK & CO INC NEW,MRK
1022138,58,20191206,0.36,H D F C BANK LTD,HDB
1022138,59,20191206,0.35,STRYKER CORP,SYK
1022138,60,20191206,0.34,ZOETIS INC,ZTS
