crsp_portno,security_rank,eff_dt,percent_tna,security_name,ticker
1022248,1,20191220,4.41,MICROSOFT CORP,MSFT
1022248,2,20191220,4.33,APPLE INC,AAPL
1022248,3,20191220,2.86,AMAZON COM INC,AMZN
1022248,4,20191220,1.85,FACEBOOK INC,FB
1022248,5,20191220,1.60,BERKSHIRE HATHAWAY INC DEL,BRK
1022248,6,20191220,1.59,JPMORGAN CHASE & CO,JPM
1022248,7,20191220,1.51,ALPHABET INC,GOOG
1022248,8,20191220,1.49,ALPHABET INC,GOOGL
1022248,9,20191220,1.39,JOHNSON & JOHNSON,JNJ
1022248,10,20191220,1.22,VISA INC,V
1022248,11,20191220,1.17,PROCTER & GAMBLE CO,PG
1022248,12,20191220,1.10,EXXON MOBIL CORP,XOM
1022248,13,20191220,1.07,BANK OF AMERICA CORP,BAC
1022248,14,20191220,1.04,A T & T INC,T
1022248,15,20191220,1.04,DISNEY WALT CO,DIS
1022248,16,20191220,1.01,UNITEDHEALTH GROUP INC,UNH
1022248,17,20191220,1.00,MASTERCARD INC,MA
1022248,18,20191220,0.98,INTEL CORP,INTC
1022248,19,20191220,0.95,VERIZON COMMUNICATIONS INC,VZ
1022248,20,20191220,0.92,HOME DEPOT INC,HD
1022248,21,20191220,0.85,MERCK & CO INC NEW,MRK
1022248,22,20191220,0.85,CHEVRON CORP NEW,CVX
1022248,23,20191220,0.83,WELLS FARGO & CO NEW,WFC
1022248,24,20191220,0.81,PFIZER INC,PFE
1022248,25,20191220,0.78,COCA COLA CO,KO
1022248,26,20191220,0.76,COMCAST CORP NEW,CMCSA
1022248,27,20191220,0.75,BOEING CO,BA
1022248,28,20191220,0.73,CISCO SYSTEMS INC,CSCO
1022248,29,20191220,0.73,PEPSICO INC,PEP
1022248,30,20191220,0.65,CITIGROUP INC,C
1022248,31,20191220,0.65,WALMART INC,WMT
1022248,32,20191220,0.58,ABBOTT LABORATORIES,ABT
1022248,33,20191220,0.57,ADOBE INC,ADBE
1022248,34,20191220,0.57,MEDTRONIC PLC,MDT
1022248,35,20191220,0.56,MCDONALDS CORP,MCD
1022248,36,20191220,0.55,SALESFORCE COM INC,CRM
1022248,37,20191220,0.54,AMGEN INC,AMGN
1022248,38,20191220,0.53,NETFLIX INC,NFLX
1022248,39,20191220,0.50,NVIDIA CORP,NVDA
1022248,40,20191220,0.50,COSTCO WHOLESALE CORP NEW,COST
1022248,41,20191220,0.50,ABBVIE INC,ABBV
1022248,42,20191220,0.49,PHILIP MORRIS INTERNATIONAL INC,PM
1022248,43,20191220,0.49,HONEYWELL INTERNATIONAL INC,HON
1022248,44,20191220,0.49,ACCENTURE PLC IRELAND,ACN
1022248,45,20191220,0.49,PAYPAL HOLDINGS INC,PYPL
1022248,46,20191220,0.48,BROADCOM INC,AVGO
1022248,47,20191220,0.48,THERMO FISHER SCIENTIFIC INC,TMO
